price,title,url
"Rs 2,500",Uncharted 4: A Thief's End,https://www.olx.com.pk/item/uncharted-4-a-thiefs-end-IDWMgVx.html
"Rs 2,400",Battlefield,https://www.olx.com.pk/item/battlefield-IDWMyUC.html
"Rs 17,000",2 wheel balancing scooter.,https://www.olx.com.pk/item/2-wheel-balancing-scooter-IDWMhjh.html
"Rs 8,500",Xbox 360 arcade with complete sanan,https://www.olx.com.pk/item/xbox-360-arcade-with-complete-sanan-IDWHQzK.html
"Rs 17,500",Ps3 multiman jailbreak all games playable free,https://www.olx.com.pk/item/ps3-multiman-jailbreak-all-games-playable-free-IDWEMpM.html
"Rs 9,000",Playstation3,https://www.olx.com.pk/item/playstation3-IDWJbmP.html
"Rs 12,000",Nintendo 3ds XL Blue in 10/10 with Monster Hunter 3-Region USA,https://www.olx.com.pk/item/nintendo-3ds-xl-blue-in-10-10-with-monster-hunter-3-region-usa-IDWN2hk.html
"Rs 3,200",Ps4 hot title gta v,https://www.olx.com.pk/item/ps4-hot-title-gta-v-IDWN2il.html
"Rs 2,500",Fifa 17 sale or exchange PS4 10/10,https://www.olx.com.pk/item/fifa-17-sale-or-exchange-ps4-10-10-IDWN2kv.html
"Rs 1,750",Ps4 charging stand ava at MY Games.,https://www.olx.com.pk/item/ps4-charging-stand-ava-at-my-games-IDUvck8.html
"Rs 3,900",Uncharted The Lost Legacy Reg All At My Games,https://www.olx.com.pk/item/uncharted-the-lost-legacy-reg-all-at-my-games-IDWqsnl.html
"Rs 18,000",Ps3 320 gb with 2 original games FOR SALE,https://www.olx.com.pk/item/ps3-320-gb-with-2-original-games-for-sale-IDWN2nh.html
Rs 200,"L298 motor driver, driver , module , stepper motor , l298 ,",https://www.olx.com.pk/item/l298-motor-driver-driver-module-stepper-motor-l298-IDWlHJr.html
"Rs 25,000",Xbox 360 new console,https://www.olx.com.pk/item/xbox-360-new-console-IDWN2rQ.html
"Rs 2,500",Usb arcade joy dubble side,https://www.olx.com.pk/item/usb-arcade-joy-dubble-side-IDWLkQR.html
"Rs 16,500",Ps3 with games,https://www.olx.com.pk/item/ps3-with-games-IDWC2jP.html
"Rs 1,650",Skins fr ps4 ava at MY Games,https://www.olx.com.pk/item/skins-fr-ps4-ava-at-my-games-IDUxEKj.html
"Rs 2,500",Sega games WITH cARTirgde,https://www.olx.com.pk/item/sega-games-with-cartirgde-IDWoogz.html
"Rs 1,000",Ps3 red dead redemption,https://www.olx.com.pk/item/ps3-red-dead-redemption-IDWICwd.html
"Rs 18,000",Hit Performance Ps3 Ulrta Slim 27 Instal Games Wtih Box With 500gb,https://www.olx.com.pk/item/hit-performance-ps3-ulrta-slim-27-instal-games-wtih-box-with-500gb-IDWN1Rg.html
"Rs 60,000",PS4 VR box bundle one VR box game and camera,https://www.olx.com.pk/item/ps4-vr-box-bundle-one-vr-box-game-and-camera-IDWN1Pl.html
"Rs 5,000",Play station remote,https://www.olx.com.pk/item/play-station-remote-IDWN1QZ.html
"Rs 60,000",X box Xbox,https://www.olx.com.pk/item/x-box-xbox-IDWN2tw.html
"Rs 2,400",Ps4 wwe 2k17,https://www.olx.com.pk/item/ps4-wwe-2k17-IDWE474.html
"Rs 2,200",Dishonored 2,https://www.olx.com.pk/item/dishonored-2-IDWN1kr.html
"Rs 2,000",Ps3 Move Camera Nd Disk !!!,https://www.olx.com.pk/item/ps3-move-camera-nd-disk-IDWN1bE.html
"Rs 4,200",X box one original controller,https://www.olx.com.pk/item/x-box-one-original-controller-IDWE5fi.html
"Rs 3,200",Play station 3 games,https://www.olx.com.pk/item/play-station-3-games-IDW6oGe.html
